"Eleição";"UF";"Nome da Empresa";"CNPJ da Empresa";"Nome do Doador";"Valor da Doação"
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ABENILZO WESLLEY SILVA NASCIMENTO - 23333 - Vereador - CIDADANIA - CARUARU - PE";1200
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ABIDAN HENRIQUE DA SILVA - 12012 - Vereador - PDT - EMBU DAS ARTES - SP";14791
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ADALBERTO SANTOS FILHO - 30555 - Vereador - NOVO - RIO DE JANEIRO - RJ";5136
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ADRIANA ALVES DA SILVA RAMALHO - 45122 - Vereador - PSDB - SÃO PAULO - SP";7338
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ADRIANA BONOW BALTHAZAR DA SILVEIRA - 30003 - Vereador - NOVO - RIO DE JANEIRO - RJ";9000
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ADRIANO MACHADO BANDEIRA - 10000 - Vereador - REPUBLICANOS - ARACAJU - SE";12835
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"AILTON DOS SANTOS FERREIRA - 13688 - Vereador - PT - SALVADOR - BA";3700
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"AILTON FRANCISCO CABRAL - 13367 - Vereador - PT - GUARULHOS - SP";40
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ALDACIR DETOFOL - 13180 - Vereador - PT - CHAPECÓ - SC";250
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ALESSANDRO DE OLIVEIRA SOARES - 13456 - Vereador - PT - SÃO PAULO - SP";14415
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ALEXANDRE LOPES BOAVENTURA CUNHA - 23023 - Vereador - CIDADANIA - BELO HORIZONTE - MG";5020
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ALGACIR MIKALOVSKI - 17038 - Vereador - PSL - CURITIBA - PR";1264
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"AMANDA CRISTINA DOS SANTOS LOPES - 50000 - Vereador - PSOL - TABOÃO DA SERRA - SP";290
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANA CLAUDIA SILVA MIELKE - 50075 - Vereador - PSOL - SÃO PAULO - SP";48185
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANA CRISTINA NASCIMENTO FREIRE - 50190 - Vereador - PSOL - RECIFE - PE";7081
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANANIAS ANDRADE - 13999 - Vereador - PT - SÃO BERNARDO DO CAMPO - SP";360
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANDERSON OLIVEIRA DA SILVA - 70770 - Vereador - AVANTE - SÃO PAULO - SP";501
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANDERSON SEVERIANO GOMES - 18500 - Vereador - REDE - SÃO PAULO - SP";2310
"Eleições Municipais 2020";"SP";"APPCIVICO CONSULTORIA LTDA";"08746641000100";"ANDRE DE OLIVEIRA - 19 - Prefeito - PODE - ITAPEMA - SC";140
